piece_id,piece_name,part_id,instrument,notes_path,score_path,split,rhythmic_precision,perf_midi_paths,score_parts,alignment_path
1,Jupiter,1,vn,data/aligned/URMP/val/01_Jupiter_vn_vc/Notes_1_vn_01_Jupiter.txt,data/aligned/URMP/val/01_Jupiter_vn_vc/Sco_01_Jupiter_vn_vc.xml,val,y,data/aligned/URMP/val/01_Jupiter_vn_vc/Notes_1_vn_01_Jupiter.midi,data/aligned/URMP/val/01_Jupiter_vn_vc/Sco_1_Jupiter_1.xml,alignments/alignment_1_Jupiter_1.json
1,Jupiter,2,vc,data/aligned/URMP/val/01_Jupiter_vn_vc/Notes_2_vc_01_Jupiter.txt,data/aligned/URMP/val/01_Jupiter_vn_vc/Sco_01_Jupiter_vn_vc.xml,val,y,data/aligned/URMP/val/01_Jupiter_vn_vc/Notes_2_vc_01_Jupiter.midi,data/aligned/URMP/val/01_Jupiter_vn_vc/Sco_1_Jupiter_2.xml,alignments/alignment_1_Jupiter_2.json
2,Sonata,1,vn,data/aligned/URMP/test/02_Sonata_vn_vn/Notes_1_vn_02_Sonata.txt,data/aligned/URMP/test/02_Sonata_vn_vn/Sco_02_Sonata_vn_vn.xml,test,y,data/aligned/URMP/test/02_Sonata_vn_vn/Notes_1_vn_02_Sonata.midi,data/aligned/URMP/test/02_Sonata_vn_vn/Sco_2_Sonata_1.xml,alignments/alignment_2_Sonata_1.json
2,Sonata,2,vn,data/aligned/URMP/test/02_Sonata_vn_vn/Notes_2_vn_02_Sonata.txt,data/aligned/URMP/test/02_Sonata_vn_vn/Sco_02_Sonata_vn_vn.xml,test,y,data/aligned/URMP/test/02_Sonata_vn_vn/Notes_2_vn_02_Sonata.midi,data/aligned/URMP/test/02_Sonata_vn_vn/Sco_2_Sonata_2.xml,alignments/alignment_2_Sonata_2.json
3,Dance,1,fl,data/aligned/URMP/val/03_Dance_fl_cl/Notes_1_fl_03_Dance.txt,data/aligned/URMP/val/03_Dance_fl_cl/Sco_03_Dance_fl_cl.xml,val,y,data/aligned/URMP/val/03_Dance_fl_cl/Notes_1_fl_03_Dance.midi,data/aligned/URMP/val/03_Dance_fl_cl/Sco_3_Dance_1.xml,alignments/alignment_3_Dance_1.json
3,Dance,2,cl,data/aligned/URMP/val/03_Dance_fl_cl/Notes_2_cl_03_Dance.txt,data/aligned/URMP/val/03_Dance_fl_cl/Sco_03_Dance_fl_cl.xml,val,y,data/aligned/URMP/val/03_Dance_fl_cl/Notes_2_cl_03_Dance.midi,data/aligned/URMP/val/03_Dance_fl_cl/Sco_3_Dance_2.xml,alignments/alignment_3_Dance_2.json
4,Allegro,1,fl,data/aligned/URMP/val/04_Allegro_fl_fl/Notes_1_fl_04_Allegro.txt,data/aligned/URMP/val/04_Allegro_fl_fl/Sco_04_Allegro_fl_fl.xml,val,y,data/aligned/URMP/val/04_Allegro_fl_fl/Notes_1_fl_04_Allegro.midi,data/aligned/URMP/val/04_Allegro_fl_fl/Sco_4_Allegro_1.xml,alignments/alignment_4_Allegro_1.json
4,Allegro,2,fl,data/aligned/URMP/val/04_Allegro_fl_fl/Notes_2_fl_04_Allegro.txt,data/aligned/URMP/val/04_Allegro_fl_fl/Sco_04_Allegro_fl_fl.xml,val,y,data/aligned/URMP/val/04_Allegro_fl_fl/Notes_2_fl_04_Allegro.midi,data/aligned/URMP/val/04_Allegro_fl_fl/Sco_4_Allegro_2.xml,alignments/alignment_4_Allegro_2.json
5,Entertainer,1,tpt,data/aligned/URMP/val/05_Entertainer_tpt_tpt/Notes_1_tpt_05_Entertainer.txt,data/aligned/URMP/val/05_Entertainer_tpt_tpt/Sco_05_Entertainer_tpt_tpt.xml,val,n,data/aligned/URMP/val/05_Entertainer_tpt_tpt/Notes_1_tpt_05_Entertainer.midi,data/aligned/URMP/val/05_Entertainer_tpt_tpt/Sco_5_Entertainer_1.xml,alignments/alignment_5_Entertainer_1.json
5,Entertainer,2,tpt,data/aligned/URMP/val/05_Entertainer_tpt_tpt/Notes_2_tpt_05_Entertainer.txt,data/aligned/URMP/val/05_Entertainer_tpt_tpt/Sco_05_Entertainer_tpt_tpt.xml,val,n,data/aligned/URMP/val/05_Entertainer_tpt_tpt/Notes_2_tpt_05_Entertainer.midi,data/aligned/URMP/val/05_Entertainer_tpt_tpt/Sco_5_Entertainer_2.xml,alignments/alignment_5_Entertainer_2.json
6,Entertainer,1,sax,data/aligned/URMP/val/06_Entertainer_sax_sax/Notes_1_sax_06_Entertainer.txt,data/aligned/URMP/val/06_Entertainer_sax_sax/Sco_06_Entertainer_sax_sax.xml,val,n,data/aligned/URMP/val/06_Entertainer_sax_sax/Notes_1_sax_06_Entertainer.midi,data/aligned/URMP/val/06_Entertainer_sax_sax/Sco_6_Entertainer_1.xml,alignments/alignment_6_Entertainer_1.json
6,Entertainer,2,sax,data/aligned/URMP/val/06_Entertainer_sax_sax/Notes_2_sax_06_Entertainer.txt,data/aligned/URMP/val/06_Entertainer_sax_sax/Sco_06_Entertainer_sax_sax.xml,val,n,data/aligned/URMP/val/06_Entertainer_sax_sax/Notes_2_sax_06_Entertainer.midi,data/aligned/URMP/val/06_Entertainer_sax_sax/Sco_6_Entertainer_2.xml,alignments/alignment_6_Entertainer_2.json
7,GString,1,tpt,data/aligned/URMP/val/07_GString_tpt_tbn/Notes_1_tpt_07_GString.txt,data/aligned/URMP/val/07_GString_tpt_tbn/Sco_07_GString_tpt_tbn.xml,val,n,data/aligned/URMP/val/07_GString_tpt_tbn/Notes_1_tpt_07_GString.midi,data/aligned/URMP/val/07_GString_tpt_tbn/Sco_7_GString_1.xml,alignments/alignment_7_GString_1.json
7,GString,2,tbn,data/aligned/URMP/val/07_GString_tpt_tbn/Notes_2_tbn_07_GString.txt,data/aligned/URMP/val/07_GString_tpt_tbn/Sco_07_GString_tpt_tbn.xml,val,n,data/aligned/URMP/val/07_GString_tpt_tbn/Notes_2_tbn_07_GString.midi,data/aligned/URMP/val/07_GString_tpt_tbn/Sco_7_GString_2.xml,alignments/alignment_7_GString_2.json
8,Spring,1,fl,data/aligned/URMP/test/08_Spring_fl_vn/Notes_1_fl_08_Spring.txt,data/aligned/URMP/test/08_Spring_fl_vn/Sco_08_Spring_fl_vn.xml,test,y,data/aligned/URMP/test/08_Spring_fl_vn/Notes_1_fl_08_Spring.midi,data/aligned/URMP/test/08_Spring_fl_vn/Sco_8_Spring_1.xml,alignments/alignment_8_Spring_1.json
8,Spring,2,vn,data/aligned/URMP/test/08_Spring_fl_vn/Notes_2_vn_08_Spring.txt,data/aligned/URMP/test/08_Spring_fl_vn/Sco_08_Spring_fl_vn.xml,test,y,data/aligned/URMP/test/08_Spring_fl_vn/Notes_2_vn_08_Spring.midi,data/aligned/URMP/test/08_Spring_fl_vn/Sco_8_Spring_2.xml,alignments/alignment_8_Spring_2.json
9,Jesus,1,tpt,data/aligned/URMP/test/09_Jesus_tpt_vn/Notes_1_tpt_09_Jesus.txt,data/aligned/URMP/test/09_Jesus_tpt_vn/Sco_09_Jesus_tpt_vn.xml,test,n,data/aligned/URMP/test/09_Jesus_tpt_vn/Notes_1_tpt_09_Jesus.midi,data/aligned/URMP/test/09_Jesus_tpt_vn/Sco_9_Jesus_1.xml,alignments/alignment_9_Jesus_1.json
9,Jesus,2,vn,data/aligned/URMP/test/09_Jesus_tpt_vn/Notes_2_vn_09_Jesus.txt,data/aligned/URMP/test/09_Jesus_tpt_vn/Sco_09_Jesus_tpt_vn.xml,test,n,data/aligned/URMP/test/09_Jesus_tpt_vn/Notes_2_vn_09_Jesus.midi,data/aligned/URMP/test/09_Jesus_tpt_vn/Sco_9_Jesus_2.xml,alignments/alignment_9_Jesus_2.json
10,March,1,tpt,data/aligned/URMP/test/10_March_tpt_sax/Notes_1_tpt_10_March.txt,data/aligned/URMP/test/10_March_tpt_sax/Sco_10_March_tpt_sax.xml,test,n,data/aligned/URMP/test/10_March_tpt_sax/Notes_1_tpt_10_March.midi,data/aligned/URMP/test/10_March_tpt_sax/Sco_10_March_1.xml,alignments/alignment_10_March_1.json
10,March,2,sax,data/aligned/URMP/test/10_March_tpt_sax/Notes_2_sax_10_March.txt,data/aligned/URMP/test/10_March_tpt_sax/Sco_10_March_tpt_sax.xml,test,n,data/aligned/URMP/test/10_March_tpt_sax/Notes_2_sax_10_March.midi,data/aligned/URMP/test/10_March_tpt_sax/Sco_10_March_2.xml,alignments/alignment_10_March_2.json
11,Maria,1,ob,data/aligned/URMP/test/11_Maria_ob_vc/Notes_1_ob_11_Maria.txt,data/aligned/URMP/test/11_Maria_ob_vc/Sco_11_Maria_ob_vc.xml,test,n,data/aligned/URMP/test/11_Maria_ob_vc/Notes_1_ob_11_Maria.midi,data/aligned/URMP/test/11_Maria_ob_vc/Sco_11_Maria_1.xml,alignments/alignment_11_Maria_1.json
11,Maria,2,vc,data/aligned/URMP/test/11_Maria_ob_vc/Notes_2_vc_11_Maria.txt,data/aligned/URMP/test/11_Maria_ob_vc/Sco_11_Maria_ob_vc.xml,test,n,data/aligned/URMP/test/11_Maria_ob_vc/Notes_2_vc_11_Maria.midi,data/aligned/URMP/test/11_Maria_ob_vc/Sco_11_Maria_2.xml,alignments/alignment_11_Maria_2.json
